Idtutor,Nama,Kelas,Nama MK
FKIP001,"Prof. Dr. Hendra Setiawan, M.Pd.",PDGK4105.1,Strategi Pembelajaran di SD
FKIP006,"Anita Rahmawati, S.Pd., M.Pd.",PDGK4105.2,Strategi Pembelajaran di SD
FKIP001,"Prof. Dr. Hendra Setiawan, M.Pd.",IDIK4008.1,Penelitian Tindakan Kelas (PTK)
FKIP007,"Ahmad Fauzi, S.Pd., M.Pd.",IDIK4008.2,Penelitian Tindakan Kelas (PTK)
FKIP002,"Dian Kartika Putri, S.Pd., M.Pd.",MKDK4005.1,Profesi Keguruan
FKIP007,"Ahmad Fauzi, S.Pd., M.Pd.",MKDK4005.2,Profesi Keguruan
FKIP002,"Dian Kartika Putri, S.Pd., M.Pd.",PDGK4301.1,Evaluasi Pembelajaran di SD
FKIP005,"Rizky Ramadhan, S.Pd., M.Si.",PDGK4301.2,Evaluasi Pembelajaran di SD
FKIP003,"Bambang Prasetyo, M.Ed., Ph.D.",PDGK4205.1,Pembelajaran Terpadu di SD
FKIP008,"Maya Anggraini, S.Pd., M.Ed.",PDGK4205.2,Pembelajaran Terpadu di SD
FKIP003,"Bambang Prasetyo, M.Ed., Ph.D.",MKDK4001.1,Pengantar Pendidikan
FKIP008,"Maya Anggraini, S.Pd., M.Ed.",MKDK4001.2,Pengantar Pendidikan
FKIP004,"Dr. Hj. Sri Wahyuni, M.Pd.",MKDK4002.1,Perkembangan Peserta Didik
FKIP004,"Dr. Hj. Sri Wahyuni, M.Pd.",PDGK4201.1,Pembelajaran PKn di SD
FKIP005,"Rizky Ramadhan, S.Pd., M.Si.",PDGK4108.1,Matematika
,,PDGK4108.2,Matematika
FKIP006,"Anita Rahmawati, S.Pd., M.Pd.",PDGK4101.1,Keterampilan Berbahasa Indonesia
